Langkode,Kode,Navn,EcosystnivaaEnum,Typekategori,Typekategori2
NIN-3.0-T-A-LV-BM,A-LV-BM,Bremassiv,A,LV,BM
NIN-3.0-T-A-LV-EL,A-LV-EL,Elveløp,A,LV,EL
NIN-3.0-T-A-LV-FL,A-LV-FL,Landformer i fast fjell og løsmasser,A,LV,FL
NIN-3.0-T-A-LV-IB,A-LV-IB,Innsjøbasseng,A,LV,IB
NIN-3.0-T-A-LV-TM,A-LV-TM,Torvmarksmassiv,A,LV,TM
NIN-3.0-T-A-MV-0,A-MV-0,Marine vannmasser,A,MV,
NIN-3.0-T-C-LI-0,C-LI-0,Livsmedium,C,LI,
NIN-3.0-T-C-PE-LA,C-PE-LA,Landskapstype,C,PE,LA
NIN-3.0-T-C-PE-NA,C-PE-NA,Natursystem,C,PE,NA
NIN-3.0-T-C-SE-NK,C-SE-NK,Naturkompleks,C,SE,NK
