KodeName;Klasse
F1-FS-A;Type
F1-FS-B;Type
F1-FS-C;Type
F1-HU-1;Type
F1-HU-2;Type
F1-KA-1;Type
F1-KA-2;Type
F1-KA-3;Type
F1-KA-4;Type
F10-MK-1;Type
F10-MK-2;Type
F10-MK-3;Type
F10-MK-4;Type
F11-KA-1;Type
F11-KA-2;Type
F13-KA-1;Type
F13-KA-2;Type
F2-FS-A;Type
F2-FS-B;Type
F2-FS-C;Type
F2-HU-1;Type
F2-HU-2;Type
F2-KA-1;Type
F2-KA-2;Type
F2-KA-3;Type
F2-KA-4;Type
F3-HU-1;Type
F3-HU-2;Type
F3-KA-1;Type
F3-KA-2;Type
F3-KA-3;Type
F3-KA-4;Type
F4-HU-1;Type
F4-HU-2;Type
F4-KA-1;Type
F4-KA-2;Type
F4-KA-3;Type
F4-KA-4;Type
F4-SM-1;Type
F4-SM-2;Type
F4-VT-A;Type
F4-VT-B;Type
F5-KA-1;Type
F5-KA-2;Type
F5-TU-1;Type
F5-TU-2;Type
F7-FK-A;Type
F7-FK-B;Type
F7-FK-C;Type
F7-FK-D;Type
F7-FK-E;Type
F7-FK-F;Type
F7-OM-1;Type
F7-OM-2;Type
F8-FS-A;Type
F8-FS-B;Type
F9-FS-A;Type
F9-FS-B;Type
F9-HY-A;Type
F9-HY-B;Type
F9-KA-1;Type
F9-KA-2;Type
H1-DM_1;Type
H1-DM_2;Type
H1-DM_3;Type
H1-DM_4;Type
H1-JV_1;Type
H1-JV_2;Type
H1-KY_1;Type
H1-KY_2;Type
H2-SA_1;Type
H2-SA_2;Type
H2-SM_1;Type
H2-SM_2;Type
H2-SM_3;Type
H2-SM_4;Type
H2-SM_5;Type
H3-OM_1;Type
H3-OM_2;Type
H4-SA_1;Type
H4-SA_2;Type
H4-SM_1;Type
H4-SM_2;Type
H4-SY_1;Type
H4-SY_2;Type
H4-SY_3;Type
H4-SY_4;Type
L1-DL-1;Type
L1-DL-2;Type
L1-KA-1;Type
L1-KA-2;Type
L1-KA-3;Type
L1-KA-4;Type
L1-TU-1;Type
L1-TU-2;Type
L1-VF-1;Type
L1-VF-2;Type
L11-ST-A;Type
L11-ST-B;Type
L13-KA-1;Type
L13-KA-2;Type
L14-KA-1;Type
L14-KA-2;Type
L14-MY-A;Type
L14-MY-B;Type
L14-MY-C;Type
L15-KA-1;Type
L15-KA-2;Type
L15-ST-A;Type
L15-ST-B;Type
L16-KA-1;Type
L16-KA-2;Type
L16-ST-A;Type
L16-ST-B;Type
L16-TV-1;Type
L16-TV-2;Type
L17-MK-1;Type
L17-MK-2;Type
L17-MK-3;Type
L17-MK-4;Type
L17-ST-A;Type
L17-ST-B;Type
L2-DK-1;Type
L2-DK-2;Type
L2-DK-3;Type
L2-DK-4;Type
L2-DL-1;Type
L2-DL-2;Type
L2-DL-3;Type
L2-KA-1;Type
L2-KA-2;Type
L2-KA-3;Type
L2-KA-4;Type
L2-TU-1;Type
L2-TU-2;Type
L3-KA-1;Type
L3-KA-2;Type
L3-KA-3;Type
L4-KA-1;Type
L4-KA-2;Type
L4-KA-3;Type
L5-KA-1;Type
L5-KA-2;Type
L5-KA-3;Type
L5-VT-1;Type
L5-VT-2;Type
L6-KA-1;Type
L6-KA-2;Type
L6-KA-3;Type
L6-KA-4;Type
L6-VT-1;Type
L6-VT-2;Type
L7-KA-1;Type
L7-KA-2;Type
L7-KA-3;Type
L7-KA-4;Type
L8-KA-1;Type
L8-KA-2;Type
L9-FK-A;Type
L9-FK-B;Type
L9-FK-C;Type
L9-FK-D;Type
L9-FK-E;Type
L9-FK-F;Type
L9-OM-1;Type
L9-OM-2;Type
M1-DL_1;Type
M1-DL_2;Type
M1-DL_3;Type
M1-HF_1;Type
M1-HF_2;Type
M1-IF_1;Type
M1-IF_2;Type
M1-RU_1;Type
