Måleskala;Trinn;Trinnverdi;Enhet
D0 ; 0 ; 0 ; Observert antall
D0 ; 1 ; 1 ; Observert antall
D0 ; 2 ; 2 ; Observert antall
D0 ; 3 ; 3–4 ; Observert antall
D0 ; 4 ; 5–8 ; Observert antall
D0 ; 5 ; 9 – 16 ; Observert antall
D0 ; 6 ; 17 – 32 ; Observert antall
D0 ; 7 ; 33 – 64 ; Observert antall
D0 ; 8 ; 65 – 128 ; Observert antall
D0 ; 9 ; 129 – 256 ; Observert antall
D0 ; 10 ; < 256 ; Observert antall
D1a ; 0 ; 0 ; Observert antall
D1a ; 1 ; 1 ; Observert antall
D1a ; 2 ; 2 ; Observert antall
D1a ; 3 ; 3–4 ; Observert antall
D1a ; 4 ; 5–8 ; Observert antall
D1a ; 5 ; 9 – 16 ; Observert antall
D1a ; 6 ; 17 – 32 ; Observert antall
D1a ; 7 ; 33 – 64 ; Observert antall
D1a ; 8 ; 65 – 128 ; Observert antall
D1a ; 9 ; 129 – 256 ; Observert antall
D1a ; 10 ; < 256 ; Observert antall
D1b ; 0 ; 0 ; Observert antall
D1b ; 1 ; 1 ; Observert antall
D1b ; 2 ; 2-4 ; Observert antall
D1b ; 3 ; 5-16 ; Observert antall
D1b ; 4 ; 17-64 ; Observert antall
D1b ; 5 ; 65-256 ; Observert antall
D1b ; 6 ; < 256 ; Observert antall
T0 ; 0 ; 0 ; Tetthet
T0 ; 1 ; 0 – 1/32 ; Tetthet
T0 ; 2 ; 1/32 – 1/16 ; Tetthet
T0 ; 3 ; 1/16 – 1/8 ; Tetthet
T0 ; 4 ; 1/8 – 1/4 ; Tetthet
T0 ; 5 ; 1/4 – 1/2 ; Tetthet
T0 ; 6 ; 1/2 – 1 ; Tetthet
T0 ; 7 ; >1 – 2 ; Tetthet
T0 ; 8 ; >2 – 4 ; Tetthet
T0 ; 9 ; >4 – 8 ; Tetthet
T0 ; 10 ; >8 – 16 ; Tetthet
T0 ; 11 ; >16 – 32 ; Tetthet
T0 ; 12 ; >32 – 64 ; Tetthet
T0 ; 13 ; >64 – 128 ; Tetthet
