Kortkode;8 VarKode2
LM-KA;KA
LM-EH;EH
LM-HR;HR
KM-HS;HS
NO-L3;L3
RA-MB-JUNIcomm-P6c;MB
RA-MB-JUNIcomm-B;MB
SA-TT;TT
SA-AB;AB
SA-AD;AD
LO-BH;BH
LO-BS;BS
LO-AI;AI
LO-AS;AS
LO-DB;DB
LO-IS;IS
LO-MI;MI
LO-TB;TB
LO-TM;TM
LO-TS;TS
LO-DV;DV
LO-EB;EB
LO-FK;FK
LO-FO;FO
LO-GG;GG
LO-JE;JE
LO-KB;KB
LO-KL;KL
LO-KU;KU
LO-SK;SK
LO-IØ;IØ
LO-IB;IB
LO-KA;KA
LO-LA;LA
LO-BE;BE
LO-ER;ER
LO-FG;FG
LO-FL;FL
LO-HG;HG
LO-HØ;HØ
LO-KI;KI
LO-PA;PA
LO-SF;SF
LO-SL;SL
LO-ST;ST
LO-FA;FA
LO-LB;LB
LO-MY;MY
LO-TU;TU
NO-BS;BS
NO-NB;NB
NO-RV;RV
RM-NH;NH
RM-PI;PI
RM-BA;BA
RM-BP;BP
RM-FF;FF
RM-IP;IP
RM-KY;KY
RM-MS;MS
RM-SE;SE
RM-SO;SO
RM-VP;VP
RM-YK;YK
LM-BK;BK
LM-DK;DK
LM-FK;FK
LM-HV;HV
LM-HY;HY
LM-IS;IS
LM-IT;IT
LM-KT;KT
LM-LT;LT
LM-OV;OV
LM-PF;PF
LM-SN;SN
LM-SO;SO
LM-ST;ST
LM-VT;VT
LM-ED;ED
LM-EF;EF
LM-EL;EL
LM-EP;EP
LM-ES;ES
LM-ET;ET
LM-IG;IG
LM-II;II
LM-IU;IU
LM-AN;AN
LM-BU;BU
LM-DA;DA
LM-DL;DL
LM-FI;FI
LM-FT;FT
LM-FU;FU
LM-GS;GS
LM-HF;HF
LM-HU;HU
LM-IB;IB
LM-IF;IF
LM-JF;JF
LM-JV;JV
LM-KI;KI
LM-MF;MF
LM-NB;NB
LM-NE;NE
LM-NG;NG
LM-NT;NT
LM-OF;OF
LM-OM;OM
LM-OR;OR
LM-RU;RU
LM-SA;SA
LM-SE;SE
LM-SF;SF
LM-SM;SM
LM-SS;SS
LM-SU;SU
LM-SV;SV
LM-TF;TF
LM-TH;TH
LM-TO;TO
LM-TU;TU
LM-TV;TV
LM-UE;UE
LM-UF;UF
LM-VF;VF
LM-VI;VI
LM-VM;VM
LM-VS;VS
LM-EB;EB
LM-EC;EC
LM-EI;EI
LM-EU;EU
LM-FV;FV
LM-HE;HE
LM-SI;SI
LM-VA;VA
LM-DW;DW
LM-DT;DT
KM-NF;NF
KM-BA;BA
TF-TP;TP
TF-RA;RA
TF-RD;RD
TF-RK;RK
TF-EK;EK
TF-RR;RR
TF-TH;TH
TF-TK;TK
TF-TU;TU
RS-BT;BT
RS-EO;EO
RS-FI;FI
RS-FK;FK
RS-KO;KO
RS-LL;LL
RS-NE;NE
RS-TE;TE
RS-US;US
RS-VA;VA
RS-VD;VD
MD-BD;BD
MD-BF;BF
MD-BK;BK
MD-BS;BS
MD-FR;FR
MD-MB;MB
MD-SR;SR
MD-AK;AK
MD-LH ;LH 
MO-DE;DE
MO-ED;ED
MO-EI;EI
MO-EL;EL
MO-EM;EM
MO-ES;ES
MO-FB;FB
MO-KK;KK
MO-KU;KU
MO-TE;TE
MO-UB;UB
MO-UE;UE
MO-VD;VD
MO-VI;VI
MO-VU;VU
MO-II;II
MO-IL;IL
MO-IM;IM
MO-IS;IS
MO-MA;MA
MO-ME;ME
MO-OP;OP
MO-BB;BB
MO-BG;BG
MO-BR;BR
MO-BS;BS
MO-BT;BT
MO-BX;BX
MO-FE;FE
MO-GJ;GJ
MO-GK;GK
MO-GR;GR
MO-GT;GT
MO-HA;HA
MO-KR;KR
