Klasse;Navn;Kortkode;Langkode;in_drupal;content_preview
Type;Bremassiv;A-LV-BM;NIN-3.0-T-A-LV-BM;;
Type;Elveløp;A-LV-EL;NIN-3.0-T-A-LV-EL;;
Type;Landformer i fast fjell og løsmasser;A-LV-FL;NIN-3.0-T-A-LV-FL;;
Type;Innsjøbasseng;A-LV-IB;NIN-3.0-T-A-LV-IB;;
Type;Torvmarksmassiv;A-LV-TM;NIN-3.0-T-A-LV-TM;;
Hovedtypegruppe;Fastmarkssystemer;NA-T;NIN-3.0-T-C-PE-NA-MB-NA-T;;
Hovedtypegruppe;Våtmarkssystemer;NA-V;NIN-3.0-T-C-PE-NA-MB-NA-V;;
Hovedtypegruppe;Innsjøbunnsystemer;NA-L;NIN-3.0-T-C-PE-NA-MB-NA-L;;
Hovedtypegruppe;Marine bunnsystemer;NA-M;NIN-3.0-T-C-PE-NA-MB-NA-M;;
Hovedtypegruppe;Elvebunnsystemer;NA-O;NIN-3.0-T-C-PE-NA-MB-NA-O;;
Hovedtype;Blomsterenger, usprøytete vegkanter og liknende med semi-naturlig hevdpreg;NA-TN02;NIN-3.0-T-C-PE-NA-MB-A-TN02;;
Hovedtype;Vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg;NA-TN03;NIN-3.0-T-C-PE-NA-MB-A-TN03;;
Hovedtype;Åker;NA-TO01;NIN-3.0-T-C-PE-NA-MB-A-TO01;;
Hovedtype;Ny torvmark på menneskebetinget forsumpet fastmark;NA-VM03;NIN-3.0-T-C-PE-NA-MB-A-VM03;;
Hovedtype;Sterkt endret, ikke torvproduserende våtmark;NA-VM04;NIN-3.0-T-C-PE-NA-MB-A-VM04;;
Grunntype;Svært kalkfattige og klare lagdelte innsjø-vannmassesystemer uten fisk;FA01-01;NIN-3.0-T-C-PE-NA-VM-FA01-01;;
Grunntype;Svært kalkfattige og humøse lagdelte innsjø-vannmassesystemer uten fisk;FA01-02;NIN-3.0-T-C-PE-NA-VM-FA01-02;;
Grunntype;Noe kalkfattige og klare lagdelte innsjø-vannmassesystemer uten fisk;FA01-03;NIN-3.0-T-C-PE-NA-VM-FA01-03;;
Grunntype;Noe kalkfattige og humøse lagdelte innsjø-vannmassesystemer uten fisk;FA01-04;NIN-3.0-T-C-PE-NA-VM-FA01-04;;
Grunntype;Moderat kalkrike lagdelte innsjø-vannmassesystemer uten fisk;FA01-05;NIN-3.0-T-C-PE-NA-VM-FA01-05;;
Kartleggingsenhet;Varig snø;IA01-M005-01;NiN-3.0-T-C-PE-NA-MB-IA01-M005-01;;
Kartleggingsenhet;Jevn breoverflate;IA01-M005-02;NiN-3.0-T-C-PE-NA-MB-IA01-M005-02;;
Kartleggingsenhet;Kryokonitt-preget breoverflate;IA01-M005-03;NiN-3.0-T-C-PE-NA-MB-IA01-M005-03;;
Kartleggingsenhet;Polar havis-overside;IA01-M005-04;NiN-3.0-T-C-PE-NA-MB-IA01-M005-04;;
Kartleggingsenhet;Svært kalkfattig og beskyttet fast strandkant-innsjøbunn;LA01-M005-01;NiN-3.0-T-C-PE-NA-MB-LA01-M005-01;;
Variabel;Abiotisk menneskebetinget;A-M;NIN-3.0-V-A-M;;
Variabel;Abiotisk naturgitt;A-N;NIN-3.0-V-A-N;;
Variabel;Biotisk menneskebetinget;B-M;NIN-3.0-V-B-M;;
Variabel;Biotisk naturgitt;B-N;NIN-3.0-V-B-N;;
Variabelnavn;Fremmedartsantall;AD-FA;NiN-3.0-V-B-M-AD-GE-FA-FA-W;;
Variabelnavn;Relativ fremmedartsdekning;AD-FD;NiN-3.0-V-B-M-AD-GE-FA-FD-W;;
Variabelnavn;Relativ fremmedartsandel;AD-FR;NiN-3.0-V-B-M-AD-GE-FA-FR-W;;
Variabelnavn;Suksesjonsstadium;AD-IE;NiN-3.0-V-B-M-AD-GK-W-IE-W;;
Variabelnavn;Kystlyngheias utviklingsfaser;AD-KU;NiN-3.0-V-B-M-AD-GK-W-KU-W;;
