Langkode;HTKode;langkode_parent;langkode_parent_xl
NIN-3.0-T-C-SE-NK-0-0-C-01;0-C-01;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-02;0-C-02;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-03;0-C-03;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-04;0-C-04;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-05;0-C-05;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-06;0-C-06;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-07;0-C-07;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-C-08;0-C-08;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-D-01;0-D-01;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-D-02;0-D-02;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-D-03;0-D-03;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-E-01;0-E-01;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-E-02;0-E-02;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-C-SE-NK-0-0-E-03;0-E-03;NIN-3.0-T-C-SE-NK;NiN-3.0-T-C-SE-NK
NIN-3.0-T-A-MV-0-0-A-0-01A;A-0-01A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-BM-0-A-0-01B;A-0-01B;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-EL-0-A-0-01C;A-0-01C;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-FL-0-A-0-01D;A-0-01D;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-IB-0-A-0-01E;A-0-01E;NIN-3.0-T-A-LV-IB;
NIN-3.0-T-A-LV-TM-0-A-0-01F;A-0-01F;NIN-3.0-T-A-LV-TM;
NIN-3.0-T-A-MV-0-0-A-0-02A;A-0-02A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-BM-0-A-0-02B;A-0-02B;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-EL-0-A-0-02C;A-0-02C;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-FL-0-A-0-02D;A-0-02D;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-IB-0-A-0-02E;A-0-02E;NIN-3.0-T-A-LV-IB;
NIN-3.0-T-A-LV-TM-0-A-0-02F;A-0-02F;NIN-3.0-T-A-LV-TM;
NIN-3.0-T-A-MV-0-0-A-0-03A;A-0-03A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-BM-0-A-0-03B;A-0-03B;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-EL-0-A-0-03C;A-0-03C;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-FL-0-A-0-03D;A-0-03D;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-MV-0-0-A-0-04A;A-0-04A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-BM-0-A-0-04B;A-0-04B;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-04C;A-0-04C;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-MV-0-0-A-0-05A;A-0-05A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-BM-0-A-0-05B;A-0-05B;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-05C;A-0-05C;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-BM-0-A-0-06A;A-0-06A;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-06B;A-0-06B;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-BM-0-A-0-07A;A-0-07A;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-07B;A-0-07B;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-BM-0-A-0-08A;A-0-08A;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-08B;A-0-08B;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-BM-0-A-0-09A;A-0-09A;NIN-3.0-T-A-LV-BM;
NIN-3.0-T-A-LV-FL-0-A-0-09B;A-0-09B;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-FL-0-A-0-10;A-0-10;NIN-3.0-T-A-LV-FL;NiN-3.0-T-A-LV-FL
NIN-3.0-T-A-MV-0-0-B-0-01A;B-0-01A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-EL-0-B-0-01B;B-0-01B;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-FL-0-B-0-01C;B-0-01C;NIN-3.0-T-A-LV-FL;
NIN-3.0-T-A-LV-IB-0-B-0-01D;B-0-01D;NIN-3.0-T-A-LV-IB;
NIN-3.0-T-A-LV-TM-0-B-0-01E;B-0-01E;NIN-3.0-T-A-LV-TM;
NIN-3.0-T-A-MV-0-0-B-0-02A;B-0-02A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-EL-0-B-0-02B;B-0-02B;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-IB-0-B-0-02C;B-0-02C;NIN-3.0-T-A-LV-IB;
NIN-3.0-T-A-LV-TM-0-B-0-02D;B-0-02D;NIN-3.0-T-A-LV-TM;
NIN-3.0-T-A-MV-0-0-B-0-03A;B-0-03A;NIN-3.0-T-A-MV-0;
NIN-3.0-T-A-LV-EL-0-B-0-03B;B-0-03B;NIN-3.0-T-A-LV-EL;
NIN-3.0-T-A-LV-TM-0-B-0-03C;B-0-03C;NIN-3.0-T-A-LV-TM;
