GTKode;forrigekode;FP;SP;Klasse
M-A-01-01;M3-1;4;4;GT
M-A-01-02;M3-2;4;4;GT
M-A-01-03;M3-3;4;4;GT
M-A-01-04;M3-4;4;4;GT
M-A-01-05;M3-5;4;4;GT
M-A-01-06;M3-6;4;4;GT
M-A-01-07;M3-7;4;4;GT
M-A-01-08;M3-8;4;4;GT
M-A-01-09;M3-9;4;4;GT
M-A-01-10;M3-10;4;4;GT
M-A-01-11;M3-14;4;4;GT
M-A-01-12;M3-15;4;4;GT
M-A-01-13;M3-16;4;4;GT
M-A-01-14;M3-17;4;4;GT
M-A-01-15;M3-19;3;4;GT
M-A-02-01;M1-1;4;4;GT
M-A-02-02;M1-4;4;4;GT
M-A-02-03;M1-6;4;4;GT
M-A-02-04;M1-7;4;3;GT
M-A-02-05;M1-3;4;4;GT
M-A-02-06;M1-5;4;2;GT
M-A-02-07;M1-7;4;3;GT
M-A-02-08;M1-7;4;1;GT
M-A-02-09;M1-4;1;4;GT
M-A-02-10;M1-4;2;4;GT
M-A-02-11;M1-4,6;4;2;GT
M-A-02-12;M1-16;4;4;GT
M-A-02-14;M1-17;4;4;GT
M-A-02-15;M1-18;4;4;GT
M-A-02-16;M1-19;4;4;GT
M-A-02-17;M1-25;4;4;GT
M-A-02-18;M1-26;4;4;GT
M-A-02-19;M1-27;4;4;GT
M-A-02-20;M1-29;4;4;GT
M-A-03-01;M2-1,13;4;4;GT
M-A-03-02;M2-6,14;3;4;GT
M-A-03-03;M2-6,14;1;4;GT
M-A-03-04;M2-2,15;4;4;GT
M-A-03-05;M2-7,16;4;4;GT
M-A-03-06;M2-3,17;4;4;GT
M-A-03-07;M2-8,18;4;4;GT
M-A-03-08;M2-4,5,19,20;2;3;GT
M-A-03-09;M2-9,10,19,20;2;3;GT
M-A-04-01;M4-29,38;4;4;GT
M-A-04-02;M4-33,34;2;2;GT
M-A-04-03;M4-34;1;2;GT
M-A-04-04;M4-31,40;2;4;GT
M-A-04-05;M4-30, 32, 39, 41;2;4;GT
M-A-04-06;M4-29,38;1;4;GT
M-A-04-07;M4-29,38;0;4;GT
M-A-04-08;M4-33,34;1;2;GT
M-A-04-09;M4-34;1;2;GT
M-A-04-10;M4-31,40;1;4;GT
M-A-04-11;M4-37;4;4;GT
M-A-04-12;M4-35,42;4;4;GT
M-A-05-01;M4-1;4;3;GT
M-A-05-02;M4-3,6;2;4;GT
M-A-05-03;M4-6;1;4;GT
M-A-05-04;M4-4,5;3;4;GT
M-A-05-05;M4-5,7;3;4;GT
M-A-05-06;M4-2;3;4;GT
M-A-05-07;M4-12;4;3;GT
M-A-05-08;M4-14;3;4;GT
M-A-05-09;M4-15;2;4;GT
M-A-05-10;M4-15;1;4;GT
M-A-05-11;M4-13,16;3;4;GT
M-A-05-12;M4-10,19;4;4;GT
M-A-05-13;M4-11,20;4;4;GT
M-A-05-14;M4-9,18;4;4;GT
M-A-05-15;M4-8,17;4;4;GT
M-A-05-16;M4-8,17;4;4;GT
M-A-06-01;M5-1;4;4;GT
M-A-06-02;M5-3;4;4;GT
M-A-06-03;M5-4;2;4;GT
M-A-06-04;M5-4;1;4;GT
M-A-06-05;M5-2,5;4;4;GT
M-A-06-06;M5-11;4;4;GT
M-A-06-07;M5-13;4;4;GT
M-A-06-08;M5-14;2;4;GT
M-A-06-09;M5-14;1;4;GT
M-A-06-10;M5-12,15;4;4;GT
M-A-06-11;M5-20;4;4;GT
