NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
3AR-DE;2;4;A-LV-FL;FL-A;A-0-01;A-0-01-0
3Ab-Es;3;4;A-LV-FL;FL-A;A-0-02;A-0-02-0
3ER-GJ;4;4;A-LV-FL;FL-A;A-0-03;A-0-03-0
3Ab-Es;1;4;A-LV-FL;FL-A;A-0-04;A-0-04-0
3AR-Es;1;4;A-LV-FL;FL-A;A-0-06;A-0-06-0
3AR-DE;1;4;A-LV-FL;FL-A;A-0-07;A-0-07-0
3ER-sP;4;4;A-LV-FL;FL-A;A-0-09;A-0-09-0
3AR-Eb;4;4;A-LV-FL;FL-D;D-0-01;D-0-01-0
3AR-DE;2;4;A-LV-FL;FL-D;D-0-02;D-0-02-0
3EL-ME;4;4;A-LV-FL;FL-D;D-0-03;D-0-03-0
3ER-Rb;1;4;A-LV-FL;FL-D;D-0-04;D-0-04-0
3ER-RL;4;4;A-LV-FL;FL-D;D-0-05;D-0-05-0
3ER-Rb;2;4;A-LV-FL;FL-D;D-0-06;D-0-06-0
3AR-Es;3;4;A-LV-FL;FL-D;D-0-08;D-0-08-0
3ER-VD;4;4;A-LV-FL;FL-D;D-0-09;D-0-09-0
3AR-EV;4;4;A-LV-FL;FL-D;D-0-10;D-0-10-0
3AR-LV;4;4;A-LV-FL;FL-D;D-0-11;D-0-11-0
3Ik-sP;4;4;A-LV-FL;FL-E;E-0-04;E-0-04-0
3FP-IP;4;4;A-LV-FL;FL-F;F-0-01;F-0-01-0
3FP-PI;4;4;A-LV-FL;FL-F;F-0-02;F-0-02-0
3FP-sb;2;4;A-LV-FL;FL-F;F-0-03;F-0-03-0
3FP-sM;4;4;A-LV-FL;FL-F;F-0-04;F-0-04-0
3kJ-DO;4;4;A-LV-FL;FL-G;G-0-01;G-0-01-0
3kJ-kG;4;4;A-LV-FL;FL-G;G-0-02;G-0-02-0
3kJ-kO;4;4;A-LV-FL;FL-G;G-0-03;G-0-03-0
3kJ-kT;4;4;A-LV-FL;FL-G;G-0-05;G-0-05-0
3Eb-bO;4;4;A-LV-FL;FL-H;H-0-01;H-0-01-0
3Ab-EN;1;4;A-LV-FL;FL-H;H-0-02;H-0-02-0
3Ab-DG;4;4;A-LV-FL;FL-H;H-0-03;H-0-03-0
3Ab-DR;2;4;A-LV-FL;FL-H;H-0-04;H-0-04-0
3Ab-FL;4;4;A-LV-FL;FL-H;H-0-06;H-0-06-0
3Eb-HD;4;4;A-LV-FL;FL-H;H-0-12;H-0-12-0
3Ab-Is;4;4;A-LV-FL;FL-H;H-0-14;H-0-14-0
3MR-Ps;4;4;A-LV-FL;FL-H;H-0-15;H-0-15-0
3Eb-ss;4;4;A-LV-FL;FL-H;H-0-16;H-0-16-0
3ER-JE;4;4;A-LV-FL;FL-H;H-0-17;H-0-17-0
3Ab-DR;1;4;A-LV-FL;FL-H;H-0-20;H-0-20-0
3Ab-PF;4;4;A-LV-FL;FL-H;H-0-22;H-0-22-0
3Ab-EN;1;4;A-LV-FL;FL-H;H-0-23;H-0-23-0
3Ab-RO;4;4;A-LV-FL;FL-H;H-0-24;H-0-24-0
3Eb-Rs;4;4;A-LV-FL;FL-H;H-0-25;H-0-25-0
3Eb-TI;4;4;A-LV-FL;FL-H;H-0-27;H-0-27-0
3Eb-UD;4;4;A-LV-FL;FL-H;H-0-29;H-0-29-0
3kP-kG;4;4;A-LV-FL;FL-I;I-0-01;I-0-01-0
3kP-kk;4;4;A-LV-FL;FL-I;I-0-02;I-0-02-0
3AR-Ls;4;4;A-LV-FL;FL-I;I-0-05;I-0-05-0
3kP-RA;4;4;A-LV-FL;FL-I;I-0-06;I-0-06-0
3kP-SV;4;4;A-LV-FL;FL-I;I-0-09;I-0-09-0
3kP-SV;4;4;A-LV-FL;FL-I;I-0-10;I-0-10-0
3kJ-kA;4;4;A-LV-FL;FL-K;K-0-03;K-0-03-0
3ML-FV;4;4;A-LV-FL;FL-L;L-0-01;L-0-01-0
3ML-FU;4;4;A-LV-FL;FL-L;L-0-02;L-0-02-0
3ER-JP;4;4;A-LV-FL;FL-L;L-0-03;L-0-03-0
3ML-Js;4;4;A-LV-FL;FL-L;L-0-04;L-0-04-0
3ML-Ls;4;4;A-LV-FL;FL-L;L-0-05;L-0-05-0
3ML-SV;4;4;A-LV-FL;FL-L;L-0-07;L-0-07-0
3ML-TA;4;4;A-LV-FL;FL-L;L-0-08;L-0-08-0
3ML-PT;4;4;A-LV-FL;FL-L;L-0-09;L-0-09-0
3MR-MR;4;4;A-LV-FL;FL-L;L-0-10;L-0-10-0
3MR-Vs;?;;A-LV-FL;FL-M;M-0-03;M-0-03-0
3Ik-MD;?;;A-LV-FL;FL-N;N-0-01;N-0-01-0
3Ik-UG;1;4;A-LV-FL;FL-N;N-0-03;N-0-03-0
3Ik-UG;2;4;A-LV-FL;FL-N;N-0-04;N-0-04-0
3Ik-UG;1;4;A-LV-FL;FL-N;N-0-05;N-0-05-0
3VI;4;4;A-LV-FL;FL-O;O-0-02;O-0-02-0
3Ik-HA;3;4;A-LV-FL;FL-P;P-0-01;P-0-01-0
3Ik-HA;1;4;A-LV-FL;FL-P;P-0-02;P-0-02-0
3Ik-VU;3;4;A-LV-FL;FL-P;P-0-06;P-0-06-0
3Ik-VU;1;4;A-LV-FL;FL-P;P-0-07;P-0-07-0
3Ik-VU;1;4;A-LV-FL;FL-P;P-0-08;P-0-08-0
3TO-GV;4;4;A-LV-TM;TM-A;A-0-01;A-0-01-0
3TO-FA;4;4;A-LV-TM;TM-A;A-0-02;A-0-02-0
3TO-Gs;3;4;A-LV-TM;TM-B;B-0-01;B-0-01-0
3TO-Gs;0;4;A-LV-TM;TM-B;B-0-02;B-0-02-0
3TO-bA;4;4;A-LV-TM;TM-B;B-0-03;B-0-03-0
3TO-sT;2;4;A-LV-TM;TM-B;B-0-04;B-0-04-0
3TO-sT;1;4;A-LV-TM;TM-B;B-0-05;B-0-05-0
3TO-Dk;4;4;A-LV-TM;TM-C;C-0-01;C-0-01-0
3TO-FL;1;4;A-LV-TM;TM-D;D-0-01;D-0-01-0
3TO-FL;2;4;A-LV-TM;TM-D;D-0-02;D-0-02-0
3TO-FL;0;4;A-LV-TM;TM-D;D-0-03;D-0-03-0
3TO-bØ;4;4;A-LV-TM;TM-E;E-0-01;E-0-01-0
3TO-PA;4;4;A-LV-TM;TM-E;E-0-02;E-0-02-0
