Kortkode;forrigekode;FP;SP;Klasse
LM-KA;KA;4;4;VN
LM-KA_a;KA;4;4;VN
LM-HR;HR;4;4;VN
KM-HS;7SB-LS;4;4;VN
KM-HS_KB;7SB-LS-PH;4;4;VN
KM-HS_U;7SB-LS-0;4;4;VN
NO-L3;4DL-ML-L;4;4;VN
RA-MB-JUNIcomm-P6c;1AE-MB-JUNIcomm-S;4;4;VN
RA-MB-JUNIcomm-B;1AE-MB-JUNIcomm-0;4;4;VN
SA-TT;1AG-0;4;4;VN
SA-AB;1AR-A-B;4;4;VN
SA-AD;1AR-A-0;4;4;VN
SA-_E2B;1AR-A-0-E2B;4;4;VN
NO-RV;4RV-0;4;4;VN
RM-PI;KY,DM;;;VN
RM-BA;6KE;;;VN
RM-BA_0;6KE-1;2;2;VN
RM-BA_a;6KE-1;2;2;VN
RM-BA_b;6KE-1;2;2;VN
RM-BA_c;6KE-2;3;3;VN
RM-BA_d;6KE-2;3;3;VN
RM-BP;KLG-BP;;;VN
RM-BP_0;KLG-BP-1;4;4;VN
RM-BP_a;KLG-BP-1;4;4;VN
RM-BP_b;KLG-BP-2;4;4;VN
RM-FF;KLG-IYK;2;2;VN
RM-FF_0;KY-0;3;3;VN
RM-FF_a;KLG-IYK3,4;3;3;VN
RM-FF_b;KLG-IYK-2;3;3;VN
RM-FF_c;KLG-IYK-1;2;2;VN
RM-FF_d;KLG-IYK-1;1;1;VN
RM-IP;KLG-IYK;2;2;VN
RM-IP_0;KLG-IP-1;4;4;VN
RM-IP_a;KLG-IP-1;4;4;VN
RM-IP_b;KLG-IP-2;4;4;VN
RM-IP_c;KLG-IP-3;4;4;VN
RM-KY;KLG-KA;3;3;VN
RM-KY_0;KLG-KA-1;4;4;VN
RM-KY_a;KLG-KA-1;4;4;VN
RM-KY_b;KLG-KA-2;4;4;VN
RM-MS;6KO;3;3;VN
RM-MS_a;6KO-1;4;4;VN
RM-MS_b;6KO-2;3;3;VN
RM-MS_c;6KO-2;3;3;VN
RM-MS_d;6KO-2,3;2;2;VN
RM-MS_e;6KO-4,5;3;3;VN
RM-SE;6SE;4;4;VN
RM-SE_a;6SE-1;4;4;VN
RM-SE_b;6SE-2;4;4;VN
RM-SE_c;6SE-3;4;4;VN
RM-SE_d;6SE-4;4;4;VN
RM-SE_e;6SE-5;4;4;VN
RM-SE_f;6SE-6;4;4;VN
RM-SO;6SO,6SX;4;4;VN
RM-SO_a;6SO-1;4;4;VN
RM-SO_b;6SO-2;4;4;VN
RM-SO_c;6SO-3;4;4;VN
RM-SO_d;6SO-4;4;4;VN
RM-SO_e;6SO-5;4;4;VN
RM-SO_f;6SO-6,6SX-3;4;4;VN
RM-SO_g;6SO-7,6SX-4,5;4;4;VN
RM-VP;KLG-VP;4;4;VN
RM-VP_0;KLG-VP-1;4;4;VN
RM-VP_a;KLG-VP-1;4;4;VN
RM-VP_b;KLG-VP-1;4;4;VN
RM-YK;KLG-IYK;;;VN
RM-YK_0;KLG-IYK-1;4;4;VN
RM-YK_a;KLG-IYK-1;4;4;VN
RM-YK_b;KLG-IYK-2;4;4;VN
RM-YK_c;KLG-IYK-3;4;4;VN
RM-YK_d;KLG-IYK-4;4;4;VN
LM-BK;BK;4;4;VN
LM-BK_0;BK-0;4;4;VN
LM-BK_A;BK-a;4;4;VN
LM-BK_B;BK-b;4;4;VN
LM-BK_C;BK-c;4;4;VN
LM-BK_D;BK-d;4;4;VN
LM-DK;DK;;;VN
LM-DK_0;DK-0;4;4;VN
LM-DK_A;DK-abc;4;4;VN
LM-DK_B;DK-defgh;4;4;VN
LM-DK_C;DK-ijklm;4;4;VN
LM-DK_D;DK-nopqr;4;4;VN
LM-DK_E;DK-st;4;4;VN
LM-DK_F;DK-uv;4;4;VN
LM-DK_G;DK-wx;4;4;VN
LM-DK_H;DK-y¤;4;4;VN
LM-FK;FK;;;VN
LM-FK_0;FK-0;4;4;VN
LM-FK_A;FK-a;4;4;VN
LM-FK_B;FK-b;4;4;VN
LM-FK_C;FK-c;4;4;VN
LM-FK_D;FK-d;4;4;VN
LM-FK_E;FK-e;4;4;VN
LM-FK_F;FK-f;;;VN
LM-HV;KY,DM;;;VN
LM-HV_A;KY-a;4;4;VN
LM-HV_B;DM-a;4;4;VN
LM-HV_C;DM-b;4;4;VN
LM-HV_D;DM-cdef;4;4;VN
LM-HV_E;DM-a;4;4;VN
LM-KT_A;KT-d;4;4;VN
